States,2020 even,2020 as 2016,2020 as 2008,2020 as 2004,2024 even,2024 as 2016
Alabama,0.000,0.000,0.000,0.000,0.000,0.000
Alaska,0.192,0.251,0.411,0.139,0.228,0.291
Arizona,0.221,0.294,0.490,0.155,0.268,0.348
Arkansas,0.009,0.011,0.018,0.007,0.002,0.003
California,1.000,1.000,1.000,1.000,1.000,1.000
Colorado,0.797,0.874,0.969,0.687,0.878,0.931
Connecticut,0.992,0.994,0.996,0.991,0.996,0.997
Delaware,0.875,0.894,0.930,0.852,0.924,0.937
Florida,0.222,0.306,0.534,0.147,0.203,0.284
Georgia,0.011,0.023,0.088,0.005,0.007,0.015
Hawaii,0.998,0.998,0.998,0.998,0.998,0.998
Idaho,0.000,0.000,0.000,0.000,0.000,0.000
Illinois,0.957,0.976,0.995,0.925,0.967,0.982
Indiana,0.205,0.249,0.365,0.163,0.198,0.241
Iowa,0.425,0.502,0.673,0.345,0.471,0.549
Kansas,0.000,0.000,0.005,0.000,0.000,0.000
Kentucky,0.002,0.004,0.014,0.001,0.001,0.001
Louisiana,0.034,0.037,0.046,0.030,0.018,0.020
Maine,0.620,0.640,0.684,0.598,0.624,0.644
Maryland,0.999,0.999,1.000,0.998,0.999,1.000
Massachusetts,0.960,0.964,0.972,0.955,0.960,0.964
Michigan,0.786,0.842,0.931,0.714,0.790,0.845
Minnesota,0.881,0.918,0.970,0.827,0.886,0.922
Mississippi,0.117,0.136,0.186,0.099,0.096,0.112
Missouri,0.034,0.057,0.154,0.018,0.017,0.030
Montana,0.191,0.227,0.321,0.156,0.168,0.202
Nebraska,0.054,0.073,0.133,0.039,0.050,0.067
Nevada,0.511,0.565,0.684,0.451,0.535,0.589
New Hampshire,0.613,0.727,0.907,0.478,0.695,0.795
New Jersey,0.995,0.998,1.000,0.991,0.998,0.999
New Mexico,0.897,0.928,0.972,0.853,0.932,0.954
New York,1.000,1.000,1.000,1.000,1.000,1.000
North Carolina,0.279,0.427,0.769,0.153,0.330,0.484
North Dakota,0.249,0.254,0.264,0.244,0.186,0.189
Ohio,0.070,0.158,0.528,0.023,0.057,0.133
Oklahoma,0.000,0.000,0.000,0.000,0.000,0.000
Oregon,0.949,0.955,0.967,0.941,0.961,0.966
Pennsylvania,0.622,0.760,0.946,0.454,0.668,0.796
Rhode Island,0.944,0.948,0.955,0.940,0.950,0.954
South Carolina,0.019,0.039,0.143,0.008,0.016,0.032
South Dakota,0.115,0.148,0.244,0.085,0.078,0.103
Tennessee,0.001,0.003,0.011,0.001,0.000,0.001
Texas,0.004,0.008,0.031,0.002,0.002,0.005
Utah,0.001,0.001,0.003,0.001,0.001,0.001
Vermont,0.966,0.968,0.971,0.965,0.976,0.977
Virginia,0.547,0.654,0.848,0.428,0.609,0.710
Washington,0.999,1.000,1.000,0.997,1.000,1.000
West Virginia,0.078,0.085,0.102,0.072,0.026,0.029
Wisconsin,0.546,0.624,0.779,0.460,0.544,0.622
Wyoming,0.001,0.002,0.007,0.001,0.001,0.001
USA,0.485,0.765,0.993,0.202,0.482,0.750
