States,2020 even,2020 as 2016,2020 as 2008,2020 as 2004,2012 even,2012 as 2012,2016 even,2016 as 2016
Alabama,0.0002,0.0007,0.003,0.0004,0.0028,0.0063,0.0012,0.0017
Alaska,0.1923,0.231,0.337,0.1594,0.1135,0.1721,0.1399,0.1817
Arizona,0.1514,0.2115,0.4164,0.0942,0.0642,0.1467,0.1012,0.1483
Arkansas,0.0247,0.0271,0.0353,0.0226,0.088,0.1152,0.045,0.0476
California,1,1,1,1,1,1,0.9999,1
Colorado,0.7901,0.8556,0.9488,0.6879,0.5309,0.7489,0.6815,0.7798
Connecticut,0.9967,0.9979,0.9989,0.9949,0.9919,0.9943,0.9946,0.9957
Delaware,0.9565,0.967,0.9805,0.9435,0.8259,0.8825,0.9172,0.9348
Florida,0.1745,0.2486,0.48,0.1158,0.1962,0.3781,0.1819,0.2748
Georgia,0.0165,0.0217,0.0697,0.0079,0.0201,0.0476,0.0185,0.0253
Hawaii,0.9987,0.9991,0.9989,0.999,0.999,0.999,0.9984,0.9989
Idaho,0.0003,0.0004,0.0017,0.0004,0.0006,0.0011,0.0002,0.0008
Illinois,0.9688,0.9837,0.9947,0.941,0.9591,0.9842,0.9688,0.9798
Indiana,0.0985,0.1432,0.3,0.0692,0.1104,0.2086,0.1025,0.1535
Iowa,0.3997,0.4783,0.6404,0.3321,0.2858,0.4242,0.3418,0.4127
Kansas,0.0004,0.0008,0.0067,0.0002,0.0003,0.0007,0.0003,0.0013
Kentucky,0.0038,0.0049,0.0177,0.0019,0.0085,0.0236,0.0045,0.0091
Louisiana,0.074,0.0694,0.0708,0.0821,0.1536,0.1347,0.1057,0.1002
Maine,0.6462,0.6679,0.7172,0.6191,0.6627,0.702,0.6505,0.6796
Maryland,0.9997,0.9997,0.9999,0.9991,0.9991,0.9997,0.9998,0.9999
Massachusetts,0.9716,0.9714,0.9805,0.9649,0.98,0.988,0.98,0.98
Michigan,0.755,0.8272,0.922,0.6631,0.7635,0.8799,0.7669,0.8328
Minnesota,0.9177,0.9568,0.9844,0.8647,0.9298,0.9744,0.9278,0.9601
Mississippi,0.0714,0.078,0.0993,0.0685,0.1111,0.1283,0.0922,0.0967
Missouri,0.0017,0.0036,0.03,0.0004,0.0089,0.054,0.0035,0.0075
Montana,0.0405,0.0624,0.17,0.0268,0.0584,0.1408,0.051,0.078
Nebraska,0.0948,0.123,0.2109,0.0742,0.0864,0.1283,0.091,0.1167
Nevada,0.4439,0.499,0.6535,0.3598,0.3872,0.5267,0.4187,0.4801
New Hampshire,0.6316,0.7398,0.8949,0.4976,0.4141,0.6552,0.5317,0.6521
New Jersey,0.9944,0.9967,0.9994,0.9909,0.9844,0.9945,0.9914,0.9957
New Mexico,0.9728,0.9869,0.9939,0.9537,0.9215,0.9707,0.9569,0.9764
New York,0.9995,0.9998,0.9999,0.9986,0.9994,0.9996,0.9993,0.9996
North Carolina,0.24,0.3738,0.7042,0.1411,0.15,0.3809,0.1962,0.3282
North Dakota,0.2997,0.2942,0.3305,0.2954,0.4216,0.4393,0.3581,0.3565
Ohio,0.0115,0.0484,0.4615,0.0039,0.0193,0.1879,0.0173,0.0594
Oklahoma,0,0,0.0001,0,0.0001,0,0.0001,0.0003
Oregon,0.9752,0.9817,0.9827,0.974,0.969,0.9778,0.9742,0.9769
Pennsylvania,0.5603,0.7204,0.9224,0.3762,0.4697,0.7685,0.5172,0.687
Rhode Island,0.9349,0.9301,0.9241,0.9262,0.9325,0.9337,0.9359,0.9301
South Carolina,0.0355,0.064,0.2096,0.0162,0.0284,0.0895,0.0277,0.0557
South Dakota,0.1467,0.1682,0.2299,0.1248,0.2395,0.3157,0.1875,0.2181
Tennessee,0.0009,0.0019,0.0047,0.0001,0.0034,0.0092,0.0014,0.0029
Texas,0.0076,0.0131,0.0428,0.0063,0.0113,0.0296,0.0097,0.0142
Utah,0.0005,0.0011,0.0015,0.0009,0.0008,0.0013,0.0007,0.0003
Vermont,0.97,0.9734,0.9774,0.9653,0.9559,0.9574,0.9643,0.9643
Virginia,0.4955,0.592,0.7977,0.388,0.3811,0.5739,0.4313,0.5549
Washington,0.9968,0.9987,0.9997,0.993,0.9949,0.999,0.9954,0.998
West Virginia,0.0279,0.0331,0.0472,0.0221,0.2496,0.3076,0.0719,0.0917
Wisconsin,0.5124,0.6459,0.8742,0.3625,0.5205,0.765,0.5117,0.6534
Wyoming,0.0017,0.0037,0.0082,0.0015,0.0045,0.0096,0.0026,0.0048
USA,0.3669,0.6564,0.9873,0.135,0.2761,0.8212,0.3148,0.6162
